log_message,target_label
"""While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_B0_00/PCIeFunctions/DevType3_DMMY_DevIndex48, the service was denied access.""",audit
"""User: in-band-user, IP: 10.26.2.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_4B_00/PCIeFunctions/DevType3_SL0D_DevIndex9, the service was denied access.""",audit
"""User: in-band-user, IP: 10.26.2.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_DMMY_DevIndex28, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_DMMY_DevIndex28, the service was denied access.""",audit
"""User: in-band-user, IP: 10.26.2.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_03_00/PCIeFunctions/DevType3_OVDL_DevIndex36, the service was denied access.""",audit
"""User: in-band-user, IP: 10.26.2.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_SLT4_DevIndex3, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_SLT4_DevIndex3, the service was denied access.""",audit
"""User: in-band-user, IP: 10.16.18.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_SLT19_DevIndex18, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_SLT19_DevIndex18, the service was denied access.""",audit
"""User: in-band-user, IP: 10.16.18.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Managers/1/LogServices/AuditLog/Entries/2562, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/Managers/1/LogServices/AuditLog/Entries/2562, the service was denied access.""",audit
"""User: in-band-user, IP: 10.16.18.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Managers/1/LogServices/SEL/Entries, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/Managers/1/LogServices/SEL/Entries, the service was denied access.""",audit
"""User: in-band-user, IP: 10.16.18.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Managers/1/LogServices/AuditLog/Entries/2578, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/Managers/1/LogServices/AuditLog/Entries/2578, the service was denied access.""",audit
"""User: in-band-user, IP: 10.16.18.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_SLT2B_DevIndexA, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_SLT2B_DevIndexA, the service was denied access.""",audit
"""User: in-band-user, IP: 10.16.18.82, Protocol: http - While attempting to establish a connection to /redfish/v1/SessionService/Sessions/984e265fd48229656556baebfe19cd38, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/SessionService/Sessions/984e265fd48229656556baebfe19cd38, the service was denied access.""",audit
"""User: in-band-user, IP: 10.16.18.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_97_02/PCIeFunctions/DevType3_QR1A_DevIndex47, the service was denied access.""",audit
"""User: in-band-user, IP: 10.16.18.82, Protocol: http - While attempting to establish a connection to /redfish/v1/SessionService/Sessions/1675182c21c1e554f69322725f8593de, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/SessionService/Sessions/1675182c21c1e554f69322725f8593de, the service was denied access.""",audit
"""User: in-band-user, IP: 10.26.2.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_DMMY_DevIndex29, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_DMMY_DevIndex29, the service was denied access.""",audit
"""User: in-band-user, IP: 10.26.2.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_SLT25_DevIndex1E, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_SLT25_DevIndex1E, the service was denied access.""",audit
"""User: in-band-user, IP: 10.26.2.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_16/PCIeFunctions/DevType3_HEC1_DevIndex2F, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_16/PCIeFunctions/DevType3_HEC1_DevIndex2F, the service was denied access.""",audit
"""User: in-band-user, IP: 10.16.18.82, Protocol: http - While attempting to establish a connection to /redfish/v1/Chassis/1/PCIeDevices/00_00_00/PCIeFunctions/DevType3_SLT27_DevIndex20, the service was denied access.""",audit
"""User: in-band-user, IP: 10.16.18.82, Protocol: http - While attempting to establish a connection to /redfish/v1/SessionService/Sessions/148422418da02c80b0373517d9cd9ca5, the service was denied access.""",audit
"""While attempting to establish a connection to /redfish/v1/SessionService/Sessions/148422418da02c80b0373517d9cd9ca5, the service was denied access.""",audit
